date,EUR (income tax applies),username,description
2019-12-17,-41.50,dennisguse,500 sticker
2020-01-16,+9.18,dennisguse,Google PlayStore sales
2020-02-18,+1.76,dennisguse,Google PlayStore sales
2020-03-17,+9.21,dennisguse,Google PlayStore sales
2020-04-16,+9.50,dennisguse,Google PlayStore sales
2020-05-18,+15.70,dennisguse,Google PlayStore sales
2020-06-16,+17.56,dennisguse,Google PlayStore sales
2020-07-16,+33.69,dennisguse,Google PlayStore sales
2020-08-03,-54.67,dennisguse,1000 sticker
2020-08-11,-21.48,dennisguse,DNS opentracksapp.com until 2021-08-10
2020-08-18,+26.64,dennisguse,Google PlayStore sales
2020-09-16,+15.69,dennisguse,Google PlayStore sales
2020-10-08,-52.00,dennisguse,Donation to https://liberapay.com/OpenTracks (1EUR / week for 1 year)
2020-10-08,+50.14,rgmf,Liberapay Donation
2020-10-19,+54.15,dennisguse,Google PlayStore sales
2020-11-17,+35.04,dennisguse,Google PlayStore sales
2020-12-16,+24.38,dennisguse,Google PlayStore sales
2020-12-22,+17.34,rgmf,Liberapay Donation
2020-12-28,+7.42,rgmf,Liberapay Donation
2021-01-19,+19.09,dennisguse,Google PlayStore sales
2021-02-16,+17.41,dennisguse,Google PlayStore sales
2021-03-05,-36.95,dennisguse,Garmin Speed Sensor 2 
2021-03-16,+24.50,dennisguse,Google PlayStore sales
2021-04-16,+35.08,dennisguse,Google PlayStore sales
2021-05-07,+24.90,rgmf,Liberapay Donation
2021-05-18,+36.75,dennisguse,Google PlayStore sales
2021-05-24,+9.36,rgmf,Liberapay Donation
2021-06-15,+41.72,dennisguse,Google PlayStore sales
2021-07-13,-82.00,dennisguse,Custom made bike shirt
2021-07-19,+29.71,dennisguse,Google PlayStore sales
2021-07-19,-35.00,dennisguse,Polar Stride (pre owned)
2021-08-17,+34.08,dennisguse,Google PlayStore sales
2021-08-22,+5,rgmf,Liberapay Donation
